name,n_dets,mean_conf
P0063,11,0.3994884192943573
P0081,2,0.6687408685684204
P0198,19,0.8504646420478821
P0308,4,0.509068489074707
P0336,7,0.5700094103813171
P0345,4,0.6553512215614319
P0363,26,0.664389967918396
P0368,10,0.5715610384941101
P0377,6,0.7816960215568542
P0452,8,0.5761627554893494
P0517,13,0.6090864539146423
P0565,5,0.6151190400123596
P0649,4,0.7988569736480713
P0699,11,0.7998918890953064
P0806,11,0.6591721773147583
P1003,7,0.6856733560562134
P1029,20,0.704851508140564
P1148,2,0.8313493728637695
P1158,4,0.49456632137298584
P1207,0,0.0
P1216,1,0.6193435192108154
P1242,7,0.7121849060058594
P1358,10,0.7370361089706421
P1522,1,0.7234881520271301
P1676,2,0.5935146808624268
P1693,0,0.0
P1960,81,0.6263545155525208
P2002,38,0.7377211451530457
P2045,12,0.8790311813354492
P2210,34,0.8165934085845947
P2257,12,0.6978054642677307
P2278,2,0.30134516954421997
P2332,2,0.6494228839874268
P2352,5,0.3836529552936554
P2456,0,0.0
P2528,4,0.5476237535476685
P2591,17,0.7821568846702576
P2613,40,0.6069236993789673
P2724,0,0.0
P2754,1,0.5031164884567261
