name,n_dets,mean_conf
P0063,50,0.3974735140800476
P0081,0,0.0
P0198,18,0.9040032625198364
P0308,6,0.37757471203804016
P0336,7,0.6498802304267883
P0345,4,0.44500264525413513
P0363,31,0.7720625996589661
P0368,13,0.7339406609535217
P0377,7,0.8016494512557983
P0452,4,0.7345842123031616
P0517,10,0.6177279353141785
P0565,5,0.580081045627594
P0649,4,0.583634078502655
P0699,11,0.7887527346611023
P0806,10,0.8877294659614563
P1003,9,0.6951825618743896
P1029,35,0.5631136894226074
P1148,0,0.0
P1158,1,0.6976787447929382
P1207,0,0.0
P1216,0,0.0
P1242,12,0.5262186527252197
P1358,3,0.5743229389190674
P1522,0,0.0
P1676,0,0.0
P1693,0,0.0
P1960,79,0.7118498682975769
P2002,35,0.7882448434829712
P2045,40,0.6752718687057495
P2210,42,0.7899256348609924
P2257,10,0.6888971328735352
P2278,2,0.4545036256313324
P2332,21,0.4155143201351166
P2352,2,0.35356178879737854
P2456,0,0.0
P2528,0,0.0
P2591,7,0.7506357431411743
P2613,38,0.6858344674110413
P2724,1,0.5021956562995911
P2754,4,0.401416540145874
