name,n_dets,mean_conf
P0063,4,0.3163262903690338
P0081,0,0.0
P0198,19,0.9753492474555969
P0308,2,0.4100532531738281
P0336,6,0.7062274813652039
P0345,4,0.7036020159721375
P0363,21,0.7657957673072815
P0368,10,0.7864919900894165
P0377,6,0.8701375126838684
P0452,11,0.6568511128425598
P0517,10,0.6035372614860535
P0565,4,0.6590878963470459
P0649,4,0.7222920656204224
P0699,11,0.8180631995201111
P0806,11,0.7896494269371033
P1003,7,0.7553267478942871
P1029,21,0.6647200584411621
P1148,2,0.3484211266040802
P1158,1,0.6889079809188843
P1207,0,0.0
P1216,1,0.5794473886489868
P1242,21,0.6168419718742371
P1358,15,0.6935473680496216
P1522,6,0.8655773997306824
P1676,1,0.26772651076316833
P1693,0,0.0
P1960,69,0.6915813088417053
P2002,38,0.7496097683906555
P2045,12,0.9195993542671204
P2210,37,0.8044121265411377
P2257,10,0.6367148160934448
P2278,2,0.43603378534317017
P2332,2,0.5779381990432739
P2352,1,0.6495518684387207
P2456,1,0.8087815046310425
P2528,0,0.0
P2591,18,0.9154145121574402
P2613,41,0.5939666032791138
P2724,0,0.0
P2754,2,0.2727244198322296
