name,n_dets,mean_conf
P0063,12,0.5080446600914001
P0081,1,0.4421103596687317
P0198,20,0.8948016166687012
P0308,6,0.43971285223960876
P0336,7,0.545720636844635
P0345,5,0.5190274715423584
P0363,33,0.7328540086746216
P0368,14,0.710609495639801
P0377,7,0.8378748297691345
P0452,7,0.8584248423576355
P0517,16,0.658923327922821
P0565,4,0.6637634038925171
P0649,4,0.9258360862731934
P0699,13,0.8004843592643738
P0806,10,0.8751832246780396
P1003,6,0.829319179058075
P1029,19,0.7211353182792664
P1148,2,0.749485969543457
P1158,4,0.6793376803398132
P1207,0,0.0
P1216,1,0.7523175477981567
P1242,23,0.5993868708610535
P1358,13,0.7559791803359985
P1522,6,0.8500955700874329
P1676,2,0.8649154901504517
P1693,0,0.0
P1960,76,0.7357028126716614
P2002,37,0.7829672694206238
P2045,23,0.6782097816467285
P2210,35,0.8240147829055786
P2257,11,0.8632466793060303
P2278,3,0.592750608921051
P2332,4,0.4985939860343933
P2352,5,0.5223963856697083
P2456,0,0.0
P2528,1,0.5744292736053467
P2591,17,0.8549238443374634
P2613,37,0.7522478103637695
P2724,1,0.7670650482177734
P2754,5,0.47212544083595276
